,ChEMBL_ID,SMILES,pIC50
48,CHEMBL77387,N#CC(C#N)=Cc1ccc([N+](=O)[O-])c(O)c1,3.346787486
49,CHEMBL432903,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)c1C,6.698970004
50,CHEMBL69964,Cc1cc(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]c1C(=O)N1CCN(C)CC1,6.677780705
51,CHEMBL65848,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(c3)CCC4)c21,5.850780887
52,CHEMBL65848,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(c3)CCC4)c21,5.301029996
53,CHEMBL65848,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(c3)CCC4)c21,5.364516253
54,CHEMBL78184,N#C/C(=C\c1ccc(F)cc1)C(=O)O,3.079354999
55,CHEMBL76985,N#C/C(=C\c1ccc(C=O)cc1)C(=O)O,4.327902142
56,CHEMBL145,O=C(O)/C=C/c1ccc(O)c(O)c1,2.920818754
57,CHEMBL69629,Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,8.187086643
58,CHEMBL69629,Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,7.397940009
59,CHEMBL69629,Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,5.688246139
60,CHEMBL136492,CN(c1ccccc1)c1ncnc2ccc(N)cc12,5.075720714
61,CHEMBL77197,COc1cc(/C(C)=C(\C#N)C(=O)O)ccc1O,2.958607315
62,CHEMBL305695,N#CC(C#N)=Cc1ccc(O)cc1,3.251811973
63,CHEMBL68258,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(N3CCCCC3)c21,4.698970004
64,CHEMBL76587,N#CC(C#N)Cc1ccc(O)cc1,2.187086643
65,CHEMBL77456,COc1ccc(C=C(C#N)C#N)cc1,2.903089987
66,CHEMBL66570,CCN1CCN(C(=O)c2cc(C)c(/C=C3\C(=O)Nc4ncnc(Nc5ccc(F)c(Cl)c5)c43)[nH]2)CC1,7.886056648
67,CHEMBL66570,CCN1CCN(C(=O)c2cc(C)c(/C=C3\C(=O)Nc4ncnc(Nc5ccc(F)c(Cl)c5)c43)[nH]2)CC1,6.698970004
68,CHEMBL66570,CCN1CCN(C(=O)c2cc(C)c(/C=C3\C(=O)Nc4ncnc(Nc5ccc(F)c(Cl)c5)c43)[nH]2)CC1,5.124938737
69,CHEMBL308048,N#C/C(=C\c1ccc(O)cc1)C(N)=O,3.096910013
70,CHEMBL311119,N#CC(C#N)=Cc1ccc(C=O)cc1,4.22184875
71,CHEMBL76905,N#CC(C#N)=Cc1cc(O)cc(O)c1,4.431798276
72,CHEMBL77524,COc1ccc(/C=C(\C#N)C(=O)O)cc1,3.079354999
73,CHEMBL305194,Cc1cc(C(=O)O)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,7.537602002
74,CHEMBL305194,Cc1cc(C(=O)O)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,5.301029996
75,CHEMBL305194,Cc1cc(C(=O)O)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,4.301029996
76,CHEMBL307250,COc1cc(/C=C(\C#N)C(=O)O)ccc1O,3.488116639
77,CHEMBL80155,COc1cc(C=C(C#N)C#N)cc(O)c1O,5.22184875
78,CHEMBL343352,Nc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,6.698970004
79,CHEMBL52765,Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,7.356547324
80,CHEMBL311564,COc1ccc(C(O)=C(C#N)C#N)cc1,3.346787486
81,CHEMBL76642,N#C/C(=C/c1cc(O)ccc1O)C(=O)O,4.124938737
82,CHEMBL308645,Cc1cc(CCC(=O)O)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,8.327902142
83,CHEMBL67003,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(cnn4Cc4ccccc4)c3)c21,8.744727495
84,CHEMBL67003,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(cnn4Cc4ccccc4)c3)c21,7
85,CHEMBL307248,N#CC(C#N)=Cc1ccc(NC(=O)CCC(=O)O)cc1,3.193820026
86,CHEMBL310958,N#CC(C#N)=NNc1ccc(O)cc1,3.647817482
87,CHEMBL78005,N#CC(C#N)=Cc1ccc2c(c1)OCO2,3.455931956
88,CHEMBL134312,CN(C)/N=N/c1ccc2ncnc(Nc3cccc(Br)c3)c2c1,7.958607315
89,CHEMBL77243,CCCCc1cc(/C=C(\C#N)C(N)=O)cc(CCCC)c1O,4.259637311
90,CHEMBL80745,COc1cc(/C=C(\C#N)C(N)=C(C#N)C#N)cc(O)c1O,5.920818754
91,CHEMBL77778,N#CC(C#N)=Cc1ccc(/C=C/C(=O)O)cc1,3.346787486
